1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.197321646,0.183145736,0.468532936,0.985408414,1,0.087501348,0.277456932,0.992570473,0.583333333,0.092681954,0.354243333,0.994773118,0.722222222,0
1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0.274745417,0.255716664,0.971878937,0.445406712,1,0.123532364,0.571784146,0.858329971,0.583333333,0.132333401,0.717787518,0.896129612,0.722222222,6.66E-07
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.607869917,0,0,0.576219273,0,0,0,0.998432223,0,0,0,0.99999515,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.078915918,0,0,0.966783617,0,0,0,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.372993244,0,0,0.999960253,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0.217993958,0.960163796,0.574438485,0.966119678,1,0.516725066,0.339833064,0.989685458,0.583333333,0.620500819,0.432747686,0.994239352,0.722222222,0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.169505794,0,0,0.822999902,0,0,0,0.999994071,0,0,0,1,0,0
0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0.363410642,0.140703972,0.7849431,0.996606158,1,0.06679092,0.463169453,0.997819609,0.583333333,0.070282258,0.58586087,0.998690945,0.722222222,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.065282867,0,0,0.926693426,0,0,0,0.999999984,0,0,0,1,0,0
1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.060496014,0.300744908,0.355129435,0.729048325,1,0.146286197,0.210479091,0.929573801,0.583333333,0.157818261,0.269328183,0.945936334,0.722222222,2.77E-09
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.266793867,0.741834418,0.3612963,0.953919868,1,0.386047023,0.214125538,0.985186495,0.583333333,0.447084131,0.273965242,0.99053274,0.722222222,0
0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.10513778,0.067959947,0.990474311,0.922763556,1,0.031904929,0.582533639,0.976993183,0.583333333,0.033199338,0.730672342,0.984164817,0.722222222,0
