"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","normalized_z"
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.402482407,0,0,0.957650123,0,0,0,1,0,0
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.442031159,0.050063305,0.243291944,0.981300844,1,0.023439195,0.144282298,0.992826019,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.020139201,0.368343806,0.403845082,0.992326414,1,0.181026028,0.23927198,0.996838873,0.583333333,0
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.436946323,0.852268406,0.468352062,0.90006872,1,0.451107363,0.277350236,0.982324422,0.583333333,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.330679894,0,0,0.709775322,0,0,0,0.999895799,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.094830515,0.140388889,0.423171911,0.903637019,1,0.066638159,0.250686583,0.978070762,0.583333333,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.075699165,0.676228909,0.707336046,0.976643549,1,0.348380199,0.417811645,0.994178973,0.583333333,0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.215998544,0,0,0.999573165,0,0,0,1,0,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.145676172,0.374809767,0.801680048,0.995015364,1,0.184385842,0.472932324,0.998090387,0.583333333,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.272468814,0.379941125,0.073795945,0.996004779,1,0.187056777,0.043785383,0.997729114,0.583333333,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16922254,0,0,0.983726858,0,0,0,1,0,0
1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.538818717,0.295819081,0.727155327,0.987148642,1,0.143782091,0.429408535,0.995822201,0.583333333,0
