"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","normalized_z"
1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0.107784373,0.505275971,0.566879321,0.724860062,1,0.253577231,0.335387241,0.935557671,0.583333333,0.410921262,0.587067456,0.951988463,1,0.374227765,0.605150712,0.975763745,1,5.10192516833818e-05
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.158276501,0,0,0.999252599,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.231790301,0,0,0.999728544,0,0,0,1,0,0.105557268,0.057101359,1,0.277777778,0.066153183,0.04488455,1,0.208333333,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19549817,0.191199002,0.112434881,0.965842242,1,0.091461091,0.06670671,0.984504607,0.583333333,0.096997276,0.085590064,0.983488948,0.722222222,0.091517712,0.098281062,0.990361094,0.791666667,2.38994411261295e-07
0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0.54116973,0.817462641,0.406713015,0.860830291,1,0.430375368,0.240966113,0.966799479,0.583333333,0.504674307,0.308050198,0.972144475,0.722222222,0.528918297,0.351648648,0.987150455,0.791666667,6.46262873860159e-06
0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0.206029649,0.702601989,0.976947879,0.991296344,1,0.363435017,0.574715431,0.996519038,0.583333333,0.418198014,0.721304345,0.997712488,0.722222222,0.429549821,0.800217144,0.999141622,0.791666667,0
1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.282527076,0.532957145,0.508446949,0.415145179,1,0.26860522,0.300987213,0.849225794,0.583333333,0.43658976,0.528781257,0.859737463,1,0.399927698,0.546686729,0.93941279,1,0.0010768725202811
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.234671475,0,0,0.498135389,0,0,0,0.995654449,0,0,0,0.999957337,0,0,0,0.999999771,0,2.00000005445844e-09
0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0.373698068,0.603604707,0.802097286,0.984801908,1,0.307521463,0.473175613,0.994108206,0.583333333,0.348198802,0.598138772,0.995656156,0.722222222,0.351602442,0.670844307,0.998209898,0.791666667,5.00457564278634e-10
0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.354129635,0.768035092,0.733518109,0.927244783,1,0.401293347,0.433129704,0.981368969,0.583333333,0.466748125,0.548862392,0.985563645,0.722222222,0.484927397,0.617917013,0.993794549,0.791666667,1.65034514609808e-07
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.376367729,0,0,0.970148105,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.027470539,0,0,0.961072905,0,0,0,1,0,0,0,1,0,0.017924632,0.107418119,0.914696901,0.208333333,1.25000001460762e-08
0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0.169871196,0.526876963,0.719554476,0.810373063,1,0.265293759,0.424962105,0.955807858,0.583333333,0.296686301,0.538767962,0.961637721,0.722222222,0.295710649,0.606999668,0.981486775,0.791666667,1.16914939437551e-05
0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0.419241105,0.764257161,0.064519022,0.969424386,1,0.399087736,0.038281556,0.987925431,0.583333333,0.463894108,0.049128323,0.988972221,0.722222222,0.48164277,0.056431559,0.994492196,0.791666667,1.33425047899038e-07
1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0.450555869,0,0,0.999370398,0,0.29801165,0.315094295,1,0.416666667,0.165256721,0.217761486,1,0.277777778,0.103567081,0.171171518,1,0.208333333,0
